virus,class,repair,host
AdV1,dsdna,0,2
AdV15,dsdna,0,2
AdV2,dsdna,0,2
AdV40_Dugan,dsdna,0,2
AdV41_Tak,dsdna,0,2
AdV5,dsdna,0,2
AdV6_Tonsil99,dsdna,0,2
B40-8,dsdna,0,0
lambda,dsdna,0,0
PMV_JC,dsdna,0,1
PRD-1,dsdna,0,0
T1,dsdna,0,0
T2,dsdna,1,0
T4,dsdna,3,0
T5,dsdna,1,0
T6,dsdna,1,0
T7,dsdna,0,0
T7M,dsdna,0,0
AHNV,plusssrna,2,2
CCV,plusssrna,2,2
CVB3,plusssrna,2,2
CVB5_Faulkner,plusssrna,2,2
CVB6_Schmitt,plusssrna,2,2
EMC,plusssrna,2,2
EV1_Farouk,plusssrna,2,2
EV11,plusssrna,2,2
EV12,plusssrna,2,2
FCV,plusssrna,2,2
FR,plusssrna,2,0
GA,plusssrna,2,0
HAV,plusssrna,2,2
HEV,plusssrna,2,2
MNV_CW3,plusssrna,2,2
MS2,plusssrna,2,0
PV1_Mahoney,plusssrna,2,2
PV1_Sabin,plusssrna,2,2
QB,plusssrna,2,0
VEEV,plusssrna,2,2
ISAV,negssrna,2,2
VHSV,negssrna,2,2
fd,ssdna,2,0
parvoH1,ssdna,2,2
phiX174,ssdna,2,0
IPNV,dsrna,2,2
phi6,dsrna,2,0
reo1,dsrna,2,2
reo3,dsrna,2,2
RVSA11,dsrna,2,2